YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.4018796	0.6268585	0.8036928	0.2455489	0.4609575	0.5788327	0.4006090	0.0029814	0.4967521	0.4641820	0.5659162	0.3478667	0.7487774	0.6361674	0.1601436	0.7011951	0.3108300	0.6853552	0.8206400	0.6493210	0.2005165	0.6262301	0.5801382	0.7342369	0.4057254	0.0025329	0.4195135	0.5252455	0.7257119	0.4145788	0.6332524	0.6063986	0.6832635	0.4431548	0.6134664	0.1958015	0.4724789	0.0781374	0.5577318	0.2620297	0.1351119	0.0064624	0.1298289	0.5435802	0.3876503	0.1434094	0.7650913	0.0417618	0.2352577	0.5084504
0.5474713	0.6486999	0.6882161	0.5844261	0.6920084	0.4482006	0.5812035	0.0117847	0.4944497	0.0275453	0.7071040	0.6397736	0.6783115	0.2647792	0.0402892	0.7339676	0.6368101	0.4875938	0.3014303	0.6596638	0.0768392	0.6290805	0.5778954	0.4843422	0.7851217	0.0671724	0.3439368	0.3990009	0.5607045	0.6062768	0.6885371	0.5651641	0.6157754	0.3775352	0.4562295	0.2418932	0.3344544	0.1709364	0.7554745	0.2119862	0.2357684	0.0257137	0.0656024	0.3138615	0.3835191	0.2046893	0.5488702	0.2059310	0.1934418	0.7780362
0.5659683	0.7089955	0.7666505	0.5871298	0.7133778	0.4298681	0.6460612	0.0183844	0.5671560	0.3185033	0.5862095	0.5407067	0.6828065	0.4149244	0.2993996	0.9060671	0.1752017	0.5237347	0.6437701	0.3357253	0.1818112	0.5895591	0.4135652	0.4956074	0.5081052	0.0219798	0.3892465	0.3780991	0.7147532	0.3339371	0.7663481	0.6180563	0.6337020	0.4460971	0.6326717	0.0114967	0.3321636	0.0784667	0.6410262	0.3445574	0.3089656	0.4491104	0.1531868	0.4313431	0.7524786	0.1581076	0.6407632	0.1411976	0.4997151	0.7383675
0.4128779	0.9293540	0.6048938	0.3233903	0.7665909	0.4368873	0.4701598	0.0021468	0.4271007	0.4107129	0.6262519	0.3537828	0.7346218	0.5056248	0.1129199	0.3873186	0.4980055	0.2535043	0.7557016	0.6123199	0.1277417	0.6751997	0.5465544	0.5778079	0.7766336	0.0052910	0.4554030	0.5162394	0.9102142	0.4918753	0.8095657	0.6436812	0.5429689	0.6519889	0.5170335	0.3062362	0.4898462	0.2085221	0.5749015	0.3013733	0.3004722	0.3991385	0.0920010	0.4607874	0.5692373	0.0934643	0.8347009	0.1152838	0.4005289	0.5236515
0.5139731	0.8094534	0.7156252	0.4421685	0.7638928	0.5771394	0.4912364	0.0001807	0.5525696	0.3079357	0.6297750	0.6334332	0.7597858	0.1614030	0.2244896	0.4444137	0.3521330	0.3388689	0.6015764	0.5417080	0.1562690	0.7646373	0.6954111	0.4773709	0.7214845	0.0007845	0.5642454	0.3675729	0.5051642	0.5808770	0.7489303	0.8467381	0.6534598	0.5309808	0.6793507	0.3452709	0.3256505	0.0850779	0.7325882	0.3060542	0.1558321	0.0594938	0.1028928	0.3337253	0.3932853	0.2603375	0.6636165	0.3813944	0.2872065	0.3909694
0.5809524	0.7451705	0.6815408	0.5585303	0.7941131	0.5944528	0.4253915	0.0001031	0.5109761	0.5012693	0.6577563	0.4607525	0.6306173	0.5185445	0.0618525	0.8042815	0.5655497	0.3411028	0.8086022	0.6174418	0.2357263	0.6709559	0.7852880	0.7098010	0.6449270	0.0095899	0.2753205	0.4125079	0.8094440	0.4812906	0.6050546	0.6307682	0.6612496	0.5386767	0.5222238	0.3200302	0.4005755	0.1444384	0.7544264	0.3227568	0.2068033	0.1083881	0.0894122	0.6143897	0.4438876	0.1002672	0.6285457	0.0159016	0.3991779	0.5731009
0.6743598	0.7461948	0.7266516	0.4048403	0.6159661	0.5363770	0.4954995	0.0015935	0.4192362	0.2587530	0.7058023	0.5737480	0.7343411	0.3526794	0.0006810	0.7285503	0.5556103	0.3653463	0.3461919	0.7414218	0.3090428	0.5080325	0.5457235	0.6329655	0.7401427	0.0300510	0.2517787	0.5644004	0.5029335	0.2192171	0.7937467	0.5740233	0.4738968	0.5708613	0.5112038	0.1577411	0.4210466	0.1065819	0.3589561	0.2943243	0.2792026	0.0339251	0.1380024	0.4031804	0.4081861	0.1195351	0.6775457	0.1502957	0.3318139	0.6726726
0.3840974	0.6059832	0.7072298	0.4061178	0.7749184	0.5609572	0.4102750	0.0002542	0.5072474	0.2926678	0.8015401	0.4673871	0.7174160	0.5144507	0.1095170	0.7838048	0.2835315	0.3849818	0.6972894	0.6924828	0.1320090	0.6205976	0.6148169	0.7563384	0.5195931	0.0073537	0.2692301	0.4453711	0.7266635	0.6254179	0.6625648	0.7544225	0.5838937	0.2991539	0.7361562	0.4473106	0.4495467	0.1112102	0.4234908	0.2957452	0.2702617	0.0194173	0.0985141	0.6632028	0.6423924	0.0361638	0.6187431	0.3606057	0.4449292	0.4974828
0.4187542	0.5733006	0.7687973	0.6643878	0.4779236	0.5291871	0.4386287	0.0009268	0.4790152	0.3693605	0.6989924	0.5212252	0.7517125	0.3769713	0.0136930	0.5435821	0.2784702	0.5365722	0.8966176	0.6595613	0.3187994	0.4347289	0.7179591	0.6291212	0.7330625	0.0030004	0.1000631	0.4475613	0.8903418	0.3325244	0.6088813	0.5506178	0.6639229	0.6208082	0.5692306	0.0923345	0.3382028	0.1063936	0.4666101	0.3303796	0.2006603	0.0010390	0.0036934	0.4427799	0.4232002	0.1816457	0.6789603	0.2455760	0.2004418	0.5857092
0.4552532	0.7102434	0.5987920	0.3079201	0.5767252	0.5090565	0.3979294	0.0001140	0.4213555	0.4804218	0.7300760	0.3625076	0.7792785	0.6405291	0.0269856	0.8069133	0.4525560	0.4968720	0.7110389	0.6345065	0.2801514	0.5947569	0.5420965	0.6106210	0.6878233	0.0058349	0.2999649	0.2926104	0.4656973	0.1897538	0.7020637	0.5869274	0.5432267	0.4128673	0.7848687	0.1810006	0.2256156	0.1797109	0.2659268	0.2250716	0.3253413	0.0357869	0.0767682	0.3891353	0.7024763	0.0432533	0.6291006	0.1427796	0.3297643	0.3871530
