YGR288W	YCR065W	YDR026C	YDR049W	YER040W	YLR228C	YJL110C	YGL254W	YGL209W	YCL066W	YJL056C	YOR140W	YDL170W	YPL248C	YCR096C	YLR098C	YCR040W	YDR310C	YHR006W	YKL020C	YFL021W	YML099C	YPR199C	YML113W	YDR421W	YDR101C	YML065W	YOR315W	YPL253C	YNL142W	YHR135C	YDR039C	YIL144W	YBL111C	YMR087W	YMR098C	YNR068C	YJR010CA	YPL216W	YNL108C	YLR048W	YJR011C	YER107C	YJR157W	YGL169W	YMR202W	YHR109W	YNL339C	YJR080C	YLL048C
0.5991497	0.9187589	0.9439343	0.5817047	0.9266339	0.7521800	0.7214036	0.0000779	0.7212937	0.2225487	1.0000000	0.6811128	0.9993477	0.6677476	0.0148997	1.0000000	0.4657071	0.5657807	1.0000000	0.8723525	0.2737796	0.9612678	0.8906504	1.0000000	0.5787298	0.0194118	0.2413340	0.6623405	0.8385049	0.5004420	0.8960032	0.8427043	0.8703353	0.7263090	0.7709984	0.2722428	0.5099369	0.1837921	0.7482847	0.4226060	0.4967433	0.1835840	0.0737020	0.4506223	0.8304193	0.2187204	0.9353347	0.1310838	0.7356733	0.7179892
0.5683538	0.9999118	0.9505277	0.5011886	0.8368762	0.7317846	0.6167326	0.0002317	0.6635903	0.5911975	0.8731028	0.5460670	0.9987851	0.7153889	0.2500316	0.8442058	0.4481785	0.7234910	1.0000000	1.0000000	0.3451021	0.9147338	0.8739554	1.0000000	0.6625937	0.0043208	0.4643738	0.5959604	0.9115738	0.4654576	0.9486827	0.8505499	0.8946788	0.4998074	0.8999076	0.2283889	0.4433276	0.2234413	0.7151869	0.3297475	0.2804794	0.0104683	0.2150866	0.7116722	0.6559723	0.2231676	0.9584481	0.0532405	0.3577185	0.7487868
0.6603781	0.9999016	0.9806180	0.7124570	0.9337841	0.7317788	0.8303177	0.0100462	0.6635793	0.0300660	0.9286919	0.8548123	0.9954950	0.3095631	0.0349128	1.0000000	0.9656487	0.6488235	0.4482399	1.0000000	0.1724545	0.9925260	0.9675486	0.7990492	1.0000000	0.0792749	0.4301078	0.5844159	0.6801868	0.8747645	0.9942186	0.8636813	0.8883674	0.5167856	0.7616092	0.4393686	0.5020162	0.2234497	0.9600394	0.3304564	0.2097363	0.0462704	0.1286166	0.4947778	0.5640139	0.2231715	0.9715586	0.2504168	0.2506469	0.8785684
0.7691652	0.9998173	0.9505170	0.7073785	0.8359085	0.7919118	0.8341986	0.0121820	0.7228511	0.5492631	0.7122795	0.6815052	0.9951005	0.6664798	0.3961187	1.0000000	0.3436338	0.5665611	0.9371467	0.5832694	0.3633988	0.8150470	0.6295103	0.6308658	0.6179781	0.0073945	0.5782940	0.5134097	0.9948075	0.3800933	0.9344980	0.8505415	0.9087038	0.6413584	0.7453109	0.0209757	0.4423513	0.1319797	0.9521497	0.3601603	0.4190332	0.4866061	0.2354702	0.6126556	0.9444114	0.1896076	0.9683228	0.2224378	0.8022479	0.8894274
0.5374604	0.9999140	0.9505280	0.5223713	1.0000000	0.7648300	0.6219150	0.0001331	0.6635927	0.5781695	1.0000000	0.6633618	0.9993588	0.7153852	0.1508524	0.5713015	0.7695852	0.4152437	1.0000000	0.8054994	0.2401524	0.9755536	0.8757397	0.8771617	1.0000000	0.0060134	0.3899960	0.7090842	0.9948855	0.6633460	0.9959199	0.9226944	0.8103578	0.7602651	0.7877174	0.4323516	0.5987979	0.1768482	0.9958172	0.3952888	0.4257251	0.4919487	0.1358192	0.4947852	0.7993521	0.1443147	0.9684675	0.1574587	0.3916643	0.7231317
0.7175434	0.9999473	0.9505318	0.6482890	1.0000000	0.7637069	0.5925322	0.0001052	0.7946540	0.3839560	0.7527066	0.9109634	0.9993372	0.2206411	0.4400655	0.7732775	0.5334979	0.4784735	0.7902493	0.7053452	0.1163693	0.9981974	0.9530306	0.6076432	1.0000000	0.0078228	0.5476744	0.5628753	0.6628232	0.9578612	0.9963558	0.8505542	0.8583851	0.6959956	0.9094094	0.7873323	0.5347531	0.1089258	0.9535945	0.3952782	0.0975106	0.1081578	0.1182444	0.4948018	0.6047104	0.2052124	0.9734403	0.4065432	0.4077005	0.4888652
0.7861153	0.9999180	0.9520303	0.7265981	1.0000000	0.8365436	0.6239270	0.0000898	0.7014119	0.5377150	1.0000000	0.6748086	0.9956753	0.6841723	0.0912244	1.0000000	0.6359821	0.5657807	1.0000000	0.9455679	0.2479963	0.9726134	1.0000000	0.9532961	0.9295485	0.0048137	0.3899960	0.5763369	0.9937774	0.6545166	0.9930772	0.8505532	0.8838969	0.7037303	0.7815034	0.3952130	0.5809407	0.1037339	0.9949294	0.3952876	0.2527097	0.1813025	0.1404489	0.8374413	0.6256538	0.1660298	0.9584494	0.0661104	0.4710544	0.6983887
0.8943791	0.9997417	0.9505085	0.5011748	0.7709460	0.8110380	0.7919139	0.0005704	0.6634059	0.4048831	1.0000000	0.8117963	0.9987209	0.3917409	0.0002787	1.0000000	0.6833124	0.5657807	0.4650610	1.0000000	0.4226442	0.8376087	0.7063828	1.0000000	1.0000000	0.0504966	0.3899960	0.7194856	0.6988402	0.2796337	0.9942186	0.9088482	0.8103288	0.8059289	0.7357990	0.2229367	0.4009901	0.1671092	0.5097756	0.3953438	0.3115480	0.0455664	0.2354724	0.4946946	0.5407844	0.1793008	0.9888600	0.2196950	0.4732152	0.8648398
0.5374620	0.9999188	0.9505285	0.5011892	0.9999682	0.8382870	0.6033402	0.0000628	0.6635979	0.5942127	1.0000000	0.6633633	0.9993293	0.7153810	0.1022379	1.0000000	0.3917439	0.5657807	1.0000000	0.9350717	0.1651761	0.9361755	0.8224254	0.9840530	0.7659141	0.0194118	0.3899960	0.5763266	0.9948932	0.8799151	0.9764788	0.8782408	0.8103586	0.4125838	0.9300371	0.6650839	0.5347363	0.1525383	0.7061536	0.3795236	0.3898653	0.0486079	0.1091260	0.7540859	0.9488399	0.0663279	0.9584496	0.3976249	0.6736277	0.5832484
0.5712776	0.9185204	0.9672165	0.7861138	0.7016300	0.6801235	0.6940612	0.0006003	0.6639561	0.4031478	1.0000000	0.8202080	0.9981662	0.3767458	0.0155924	0.7508001	0.4363595	0.7198769	1.0000000	1.0000000	0.4945667	0.4977423	1.0000000	1.0000000	1.0000000	0.0194118	0.2112349	0.6114103	0.9948588	0.2614793	0.9942186	0.8930653	0.8415729	0.8697572	0.7917337	0.0675358	0.3534753	0.1228594	0.5192291	0.3904467	0.3301291	0.0075974	0.0051856	0.5407492	0.4941292	0.2593042	0.9599529	0.3903396	0.2534857	0.8053646
