YBL005W	YGL013C	YOR140W	YBR182C	YHL027W	YGL162W	YGR249W	YGR044C	YER045C	YCR097W	YCL067C	YPL177C	YOL089C	YML099C	YMR019W	YKL185W	YCL066W	YCR040W	YDR421W	YMR070W	YLR013W	YGL254W	YMR021C	YHR006W	YJL110C	YDR393W	YGR136W	YLR300W	YLR393W	YCL043C	YGR282C	YDR420W	YCR104W	YOR268C	YNR008W	YOR209C	YPR203W	YKR097W	YDR282C	YPR198W	YML111W	YDR351W	YDR058C	YPR169W	YBL109W	YIL014CA	YOR280C	YLR390W	YDR402C	YPL249CA
0.3918075	0.9480174	0.1683954	1.0168534	0.7133245	1.0357483	0.2464669	0.0892465	0.7183095	0.8872397	0.0806337	0.2157289	1.1089027	0.8915188	0.0430865	0.4101968	0.9833826	0.6109879	1.0132898	0.0268365	0.9895053	1.0443668	1.0109598	1.0803045	0.9643397	0.1214532	0.6679416	0.9855880	0.0028050	0.7960273	0.0802157	0.3999871	0.1342758	0.1987784	0.9251458	0.2154290	0.9708682	0.0775739	0.8553075	0.3804993	0.7495621	0.0474823	0.1548430	0.0380580	0.2782019	0.9661510	0.9993384	0.6642006	0.7143842	0.2195019
0.3525994	1.0211665	0.2503523	0.9841678	0.7983237	0.9943941	0.2781492	0.1620001	0.7088069	0.8504484	0.0838642	0.2510797	1.0662502	0.9373941	0.0546520	0.3924543	0.9927269	0.6164714	1.0677412	0.0498366	1.0038249	1.0293255	1.0097471	1.0624878	0.9864764	0.1767034	0.7049402	1.0619243	0.0015802	0.8101308	0.0765981	0.7226763	0.0754027	0.1666135	0.9212092	0.2671834	1.0557275	0.1057626	0.8383263	0.2704181	0.9047696	0.0547243	0.1898744	0.0369160	0.3586210	0.9362484	1.0633510	0.6802855	0.6931489	0.1812377
0.4017338	1.0581044	0.1695181	1.0883166	0.7907834	0.9066326	0.3101098	0.0539527	0.7118327	0.8864674	0.0976942	0.2844083	1.0215049	0.9075291	0.0518754	0.4149301	0.9785328	0.6322613	0.9783832	0.0327963	1.0115408	0.9843377	1.0279107	1.0285864	0.9485620	0.1707952	0.6720017	1.0665186	0.0063495	0.7130129	0.0739862	0.8112052	0.1506292	0.1042132	0.8649582	0.3128825	1.0914457	0.1320437	0.8803534	0.3356468	0.7525855	0.0815975	0.1553407	0.0317553	0.2749291	0.9807996	1.0507024	0.6192320	0.6759999	0.2348441
0.3503689	1.0840516	0.2557612	0.9937174	0.7298033	1.0110149	0.2585659	0.1344399	0.7528381	0.8926971	0.0945203	0.2348162	1.0857591	1.0265043	0.0526394	0.4114076	1.0713859	0.6101066	0.9577661	0.0469180	0.9943707	1.0254581	0.9752902	0.9773996	1.0340483	0.1125891	0.6466185	1.0654168	0.0102678	0.7352257	0.0771900	0.6861501	0.1065606	0.1373378	0.4826763	0.2177116	1.0507685	0.1272812	0.8920477	0.3528576	0.9056775	0.0555280	0.1216915	0.0296371	0.2346009	0.8795357	0.9927630	0.6789096	0.7437565	0.1374897
0.4566229	0.9357422	0.1360634	1.0407547	0.8020918	0.9917763	0.2654947	0.1091069	0.8049351	0.7636915	0.0776486	0.2264309	0.9738931	0.9975680	0.0541767	0.3791284	0.9984683	0.6580135	0.9296426	0.0382005	1.0460590	0.9266135	1.0587797	0.9658436	0.9652766	0.1772931	0.6601050	0.9486580	0.0107579	0.7535267	0.0658597	0.7873152	0.1606219	0.1922288	1.0373241	0.1633613	1.0067439	0.0972257	0.8141920	0.3507875	0.8013447	0.0578733	0.1151494	0.0275928	0.2907290	1.0212622	1.0092584	0.6435910	0.7757625	0.2173633
0.3795108	0.9570728	0.3092063	1.0232291	0.7316676	1.0136069	0.3134115	0.1962208	0.6866791	0.9230021	0.0907899	0.2164906	1.0598867	1.0712525	0.0618262	0.3763748	0.8995647	0.5654249	1.0496673	0.0346818	0.9745780	1.0190832	1.0327806	1.0130066	1.0039083	0.1619078	0.6458218	0.9957463	0.0125920	0.6015878	0.0706154	0.7659840	0.1386753	0.1728631	0.8175015	0.2686493	0.4716487	0.1012067	0.8236388	0.2848561	0.7632838	0.0461339	0.1626997	0.0327911	0.3356437	0.9654994	0.9966860	0.6383883	0.7521773	0.1706611
0.4626319	1.0117409	0.2263909	1.0566345	0.8014583	1.0142295	0.2682700	0.0953742	0.7213656	0.8585347	0.0833050	0.2200183	1.0209244	1.0768356	0.0709829	0.4206147	0.9372315	0.5671980	0.9176601	0.0541038	0.9891458	1.0438450	0.9552812	0.9557137	1.0325409	0.1528598	0.6953991	1.0510412	0.0081568	0.7587263	0.0780477	0.7773246	0.1237631	0.2604879	0.8281405	0.2284642	1.0588646	0.0438842	0.9214938	0.3351804	0.7417522	0.0400684	0.1670582	0.0322260	0.2683547	1.0284044	1.0561051	0.6368748	0.6993449	0.1963200
0.3749679	1.0077630	0.1842238	0.9689889	0.7305941	1.0101408	0.2606001	0.0633385	0.7113024	0.8778417	0.0759554	0.2540718	0.9671289	1.0529194	0.0867069	0.4011054	0.9939120	0.5601708	0.9745883	0.0612961	1.0683911	1.0149566	1.0328083	1.0163195	0.9935897	0.1596920	0.7178240	1.0355871	0.0138597	0.7596214	0.0854732	0.6675384	0.1680196	0.1720726	0.9262288	0.2657937	0.9988037	0.0965652	0.4062797	0.3286457	0.7768424	0.0375854	0.1977061	0.0302004	0.3105326	1.0072167	0.9198975	0.7011446	0.6614770	0.1783256
0.3849494	0.9675833	0.1511981	1.0337817	0.7880355	0.9390488	0.2817817	0.0416629	0.7318710	0.9963457	0.0656081	0.2406477	0.9768471	0.9912670	0.0683171	0.4120487	0.9944894	0.5499928	0.9831261	0.0441792	0.9839404	0.9791656	1.0049105	1.1484707	1.1132880	0.2027895	0.6321289	0.9428507	0.0116274	0.8016302	0.0815187	0.7799939	0.1770143	0.1887211	0.9666542	0.3222993	0.9857646	0.1051697	0.8665071	0.1468361	0.8829586	0.0526723	0.2064032	0.0324916	0.2466770	0.9225053	0.9526752	0.6561111	0.6723870	0.1916415
0.4104577	0.9587184	0.2302027	1.0739342	0.8518935	0.9819724	0.2726696	0.0908810	0.6700967	0.9005887	0.0999904	0.1813912	1.0294516	1.0423268	0.0632976	0.3491092	0.9797592	0.6627636	1.0431692	0.0353719	1.0416143	1.0323213	1.0173258	1.0481754	0.9497205	0.0930402	0.6474315	0.9890048	0.0020779	0.7703066	0.0797521	0.7891879	0.1249234	0.2118660	0.8408417	0.1831089	1.0505440	0.0917561	0.7664353	0.3414334	0.3683774	0.0493916	0.1453105	0.0363293	0.2539547	0.9648762	0.9484021	0.6398208	0.7243943	0.2462318
